Province,District,Tehsil,CNIC,CRC,NICOP,Grand Total
BALOCHISTAN,AWARAN,AWARAN SUB-,"26,538","14,956","1,865","43,359"
BALOCHISTAN,AWARAN,GISHKORE,"11,226","5,049",438,"16,713"
BALOCHISTAN,AWARAN,JHAL JHAO,"16,419","12,176",753,"29,348"
BALOCHISTAN,AWARAN,KORAK JHAO,"10,895","5,689",225,"16,809"
BALOCHISTAN,AWARAN,MASHKAI SUB-,"26,790","15,638",635,"43,063"
BALOCHISTAN,BARKHAN,BARKHAN SUB-,"83,625","48,980","1,488","134,093"
BALOCHISTAN,CHAGAI,CHAGAI,"39,469","23,948",369,"63,786"
BALOCHISTAN,CHAGAI,DALBANDIN SUB-,"65,959","50,343",912,"117,214"
BALOCHISTAN,CHAGAI,NOKKUNDI,"15,633","8,413",34,"24,080"
BALOCHISTAN,CHAGAI,TAFTAN SUB-,"8,638","4,367",15,"13,020"
BALOCHISTAN,CHAMAN,CHAMAN CITY,"121,986","48,288",829,"171,103"
BALOCHISTAN,CHAMAN,CHAMAN SADDAR,"39,495","18,242",163,"57,900"
BALOCHISTAN,DERA BUGTI,DERA BUGTI SUB-,"37,732","32,705",199,"70,636"
BALOCHISTAN,DERA BUGTI,PHELAWAGH,"40,982","22,224",35,"63,241"
BALOCHISTAN,DERA BUGTI,SUI SUB-,"60,347","52,523",550,"113,420"
BALOCHISTAN,DUKI,DUKI,"42,899","27,164",114,"70,177"
BALOCHISTAN,DUKI,LOONI,"11,226","5,926",4,"17,156"
BALOCHISTAN,DUKI,TALAU,"5,578","2,679",1,"8,258"
BALOCHISTAN,DUKI,THAL CHUTYALI,"6,827","3,605",9,"10,441"
BALOCHISTAN,GWADAR,GWADAR SUB-,"81,119","45,313","3,795","130,227"
BALOCHISTAN,GWADAR,JIWANI,"14,796","7,995",223,"23,014"
BALOCHISTAN,GWADAR,ORMARA,"14,940","6,656",65,"21,661"
BALOCHISTAN,GWADAR,PASNI SUB-,"38,512","17,534",889,"56,935"
BALOCHISTAN,HARNAI,HARNAI,"36,282","22,054",131,"58,467"
BALOCHISTAN,HARNAI,SHAHRIG,"12,544","7,638",5,"20,187"
BALOCHISTAN,HUB,DUREJI,"24,602","14,372",60,"39,034"
BALOCHISTAN,HUB,GADDANI,"13,029","6,552",28,"19,609"
BALOCHISTAN,HUB,HUB,"104,120","64,917","1,846","170,883"
BALOCHISTAN,HUB,SON MAINI,"32,736","19,895",256,"52,887"
BALOCHISTAN,JAFFARABAD,JHAT PAT SUB-,"166,466","100,987","1,776","269,229"
BALOCHISTAN,JHAL MAGSI,GANDAWA SUB-,"30,023","18,718",397,"49,138"
BALOCHISTAN,JHAL MAGSI,JHAL MAGSI SUB-,"40,483","19,872",954,"61,309"
BALOCHISTAN,KACHHI,BALANARI SUB,"17,368","8,281",8,"25,657"
BALOCHISTAN,KACHHI,BHAG SUB-,"34,423","17,509",74,"52,006"
BALOCHISTAN,KACHHI,DHADAR SUB-,"36,532","22,866",90,"59,488"
BALOCHISTAN,KACHHI,MACH SUB-,"28,645","15,982",168,"44,795"
BALOCHISTAN,KACHHI,SANNI SUB-,"24,239","11,330",80,"35,649"
BALOCHISTAN,KALAT,KALAT SUB-,"71,850","45,642","1,169","118,661"
BALOCHISTAN,KALAT,MANGOCHAR,"35,822","19,934",81,"55,837"
BALOCHISTAN,KECH,BULEDA SUB-,"30,275","14,793","3,721","48,789"
BALOCHISTAN,KECH,DASHT SUB-,"27,007","13,998","1,748","42,753"
BALOCHISTAN,KECH,KECH (TURBAT) SUB-,"145,414","62,878","12,554","220,846"
BALOCHISTAN,KECH,MAND SUB-,"20,436","10,660","6,748","37,844"
BALOCHISTAN,KECH,TUMP SUB-,"33,084","15,723","8,277","57,084"
BALOCHISTAN,KHARAN,KHARAN SUB-,"74,790","46,951","2,101","123,842"
BALOCHISTAN,KHUZDAR,KHUZDAR SUB-,"162,159","105,512","11,814","279,485"
BALOCHISTAN,KHUZDAR,NAAL SUB-,"54,377","34,669","4,799","93,845"
BALOCHISTAN,KHUZDAR,WADH SUB-,"69,833","51,743",951,"122,527"
BALOCHISTAN,KHUZDAR,ZEHRI,"20,074","12,028",890,"32,992"
BALOCHISTAN,KILLA ABDULLAH,DOBANDI SUB,"17,902","6,002",15,"23,919"
