Province,District,CNIC,CRC,NICOP,Total National IDs,POPULATION 2023
BALOCHISTAN,AWARAN," 91,868 "," 53,508 "," 3,916 "," 149,292 ","178,958"
BALOCHISTAN,BARKHAN," 83,625 "," 48,980 "," 1,488 "," 134,093 ","210,249"
BALOCHISTAN,CHAGAI," 129,699 "," 87,071 "," 1,330 "," 218,100 ","269,192"
BALOCHISTAN,CHAMAN," 161,481 "," 66,530 ", 992 ," 229,003 ","466,218"
BALOCHISTAN,DERA BUGTI," 139,061 "," 107,452 ", 784 ," 247,297 ","355,274"
BALOCHISTAN,DUKI," 66,530 "," 39,374 ", 128 ," 106,032 ","205,044"
BALOCHISTAN,GWADAR," 149,367 "," 77,498 "," 4,972 "," 231,837 ","305,160"
BALOCHISTAN,HARNAI," 48,826 "," 29,692 ", 136 ," 78,654 ","127,571"
BALOCHISTAN,HUB," 174,487 "," 105,736 "," 2,190 "," 282,413 ","382,885"
BALOCHISTAN,JAFFARABAD," 166,466 "," 100,987 "," 1,776 "," 269,229 ","302,498"
BALOCHISTAN,JHAL MAGSI," 70,506 "," 38,590 "," 1,351 "," 110,447 ","203,368"
BALOCHISTAN,KACHHI," 141,207 "," 75,968 ", 420 ," 217,595 ","442,674"
BALOCHISTAN,KALAT," 107,672 "," 65,576 "," 1,250 "," 174,498 ","271,560"
BALOCHISTAN,KECH," 256,216 "," 118,052 "," 33,048 "," 407,316 ","1,060,931"
BALOCHISTAN,KHARAN," 74,790 "," 46,951 "," 2,101 "," 123,842 ","260,352"
BALOCHISTAN,KHUZDAR," 306,443 "," 203,952 "," 18,454 "," 528,849 ","997,214"
BALOCHISTAN,KILLA ABDULLAH," 149,687 "," 71,342 ", 423 ," 221,452 ","361,971"
BALOCHISTAN,KILLA SAIFULLAH," 136,358 "," 93,428 ", 166 ," 229,952 ","380,200"
BALOCHISTAN,KOHLU," 70,633 "," 36,519 ", 890 ," 108,042 ","260,220"
BALOCHISTAN,LASBELA," 145,204 "," 96,821 "," 1,431 "," 243,456 ","298,092"
BALOCHISTAN,LORALAI," 132,316 "," 86,709 ", 766 ," 219,791 ","272,432"
BALOCHISTAN,MASTUNG," 135,772 "," 61,976 ", 571 ," 198,319 ","313,271"
BALOCHISTAN,MUSAKHEL," 72,273 "," 45,825 ", 447 ," 118,545 ","182,275"
BALOCHISTAN,NASIRABAD," 258,362 "," 142,783 "," 1,399 "," 402,544 ","563,315"
BALOCHISTAN,NUSHKI," 108,716 "," 69,248 "," 4,722 "," 182,686 ","207,834"
BALOCHISTAN,PANJGUR," 126,866 "," 57,785 "," 6,645 "," 191,296 ","509,781"
BALOCHISTAN,PISHIN," 308,974 "," 174,519 "," 1,411 "," 484,904 ","835,482"
BALOCHISTAN,QUETTA," 998,245 "," 515,869 "," 29,360 "," 1,543,474 ","2,595,492"
BALOCHISTAN,SHERANI," 38,628 "," 18,411 "," 5,197 "," 62,236 ","191,687"
BALOCHISTAN,SIBI," 121,321 "," 67,946 ", 244 ," 189,511 ","224,148"
BALOCHISTAN,SOHBATPUR," 108,453 "," 62,190 ", 343 ," 170,986 ","240,106"
BALOCHISTAN,SURAB," 56,131 "," 33,381 "," 8,550 "," 98,062 ","279,038"
